Synthesis_Method,Gas_Type,Temperature_C,Pressure_torr,Catalyst_FeCoNi_at_pct,Growth_Time_min,Purity_%,SWCNT_Fraction,Diameter_nm,Length_um,Raman_GD,Electrical_Conductivity_Sm,Resistivity_uOhm_cm,Application,EMI_Shielding_dB,Gas_Sensitivity_%,Capacitance_Fg,Failure_Mode,Severity,Occurrence,Detectability,Failure_Label,PhD_Topic
Laser Ablation,Ar,1263.22,550.47,2.79,44.6,86.17,0.869,1.702,456.93,71.37,817800,133.7507,EMI_Shielding,70.82,3.85,40.29,Pore_Collapse,8,4,4,0,CNT_Energy_Electrodes
Arc Discharge,He,3519.22,347.74,1.04,39.59,82.75,0.389,10.956,1509.7,64.48,615400,165.2714,Biomedical,8.73,9.99,61.11,Drift_in_Sensitivity,8,8,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1099.2,593.13,1.8,78.67,88.51,0.622,9.601,951.12,102.8,730000,147.4595,Sensor,9.33,83.74,44.37,Contamination,6,5,2,0,CNT_Synthesis_Optimization
CVD,CH4,635.56,217.99,1.32,71.33,85.85,0.682,23.843,225.72,78.08,886300,132.4549,Sensor,20.4,23.94,28.95,Contamination,9,7,5,1,CNT_Interconnects
Arc Discharge,Ar,3976.62,256.65,2.24,68.98,88.21,0.457,19.778,861.81,71.33,720000,114.2521,Energy_Electrode,11.93,8.83,127.73,Electromigration,4,4,5,0,CNT_Sensors
Arc Discharge,He,4070.8,439.87,1.15,69.41,81.34,0.247,2.419,1552.78,114.4,610200,185.0367,EMI_Shielding,65.79,0.28,39.56,Contamination,9,4,7,1,CNT_EMI_Composites
Laser Ablation,Ar,1220.3,557.85,2.23,40.43,88.31,0.848,1.485,1415.11,146.38,1000000,103.9046,Biomedical,12.87,15.76,51.71,Matrix_Cracking,8,4,3,1,CNT_EMI_Composites
Arc Discharge,Ar,4016.68,306.99,2.54,57.56,80.92,0.495,26.147,1593.89,124.58,657900,150.6085,Sensor,20.21,39.24,52.38,Junction_Breakdown,7,6,5,1,CNT_Interconnects
Arc Discharge,Ar,3995.18,397.61,2.79,74.56,87.17,0.336,5.43,202.14,71.41,716200,136.2308,Sensor,22.49,59.35,16.4,Drift_in_Sensitivity,7,8,8,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1208.61,571.08,0.67,98.82,86.6,0.814,1.865,1619.57,83.62,900800,95.3819,Energy_Electrode,18.53,12.84,198.28,Thermal_Runaway,7,5,4,1,CNT_Energy_Electrodes
CVD,CH4,734.32,389.34,2,55.02,87.68,0.632,26.341,1792.2,67.52,661600,171.9875,Energy_Electrode,20.39,14.07,274.71,Electromigration,6,7,7,1,CNT_Energy_Electrodes
CVD,CH4,710.54,184.71,1.27,67.4,98.02,0.481,29.378,279.24,75.6,908600,92.2475,EMI_Shielding,70.17,4.5,11.24,Drift_in_Sensitivity,7,7,6,1,CNT_Energy_Electrodes
Arc Discharge,He,3984.43,246.71,2.3,43.21,85.83,0.425,5.839,566.81,65.48,552900,209.9516,Energy_Electrode,16.81,2.72,163.7,Drift_in_Sensitivity,4,7,8,1,CNT_Interconnects
CVD,C2H2,793.26,396.37,2.89,60.4,92.71,0.661,20.188,829.47,105.82,761100,151.0239,Energy_Electrode,15.05,8.75,58.26,Contamination,6,3,4,1,CNT_Interconnects
Laser Ablation,Ar,1201,403.64,1.67,43.32,89.24,0.766,0.931,60.39,128.7,761000,146.8542,Biomedical,7.27,25.29,71.79,Thermal_Runaway,5,3,5,0,CNT_EMI_Composites
Laser Ablation,Ar,1242.02,499.24,2.02,22.61,85.51,0.83,1.942,1275.53,104.77,768000,123.0309,Interconnect,2.19,9.79,10.11,Junction_Breakdown,6,5,2,0,CNT_Sensors
Laser Ablation,Ar,1142.25,530.18,1.05,92.72,88.1,0.725,1.444,1123.6,145.28,749000,130.5999,Energy_Electrode,12.73,14.19,168.8,Contamination,7,8,6,0,CNT_Interconnects
Arc Discharge,Ar,3466.81,325.36,2.83,22.89,74.07,0.234,24.587,161.84,60.99,409800,200.1283,Interconnect,9.34,6.64,24.07,Pore_Collapse,4,6,8,0,CNT_Interconnects
Laser Ablation,Ar,1068.59,480.94,0.96,45.22,85.99,0.737,1.339,1785.14,52.24,779900,135.0408,Sensor,17.25,56.58,15.86,Electromigration,6,3,2,0,CNT_Interconnects
CVD,CO,678.39,323.48,2.61,68.64,94.05,0.762,0.781,1059.73,46.99,787200,113.0402,Biomedical,14.27,36.37,59.96,Electromigration,4,7,6,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1293.77,554.09,2.67,51.31,87.54,0.724,1.988,589.82,65.88,880100,91.2648,Energy_Electrode,37.49,3.49,162.87,Junction_Breakdown,6,7,2,0,CNT_Sensors
Arc Discharge,He,4318.05,319.15,1.14,50.01,86.74,0.389,27.336,433.16,92.98,659600,139.8295,EMI_Shielding,23.36,4.27,54.61,Drift_in_Sensitivity,6,5,4,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,3972.32,247.57,2.28,46.17,87.31,0.41,4.083,223.57,95.73,609800,192.0368,Biomedical,16.56,10.84,78.62,Electromigration,7,3,2,1,CNT_Sensors
CVD,C2H2,705.73,117.95,2.88,85.08,92.49,0.664,28.532,622.89,74.39,900800,102.7924,Sensor,21.31,67.85,7.1,Thermal_Runaway,9,6,2,1,CNT_Sensors
CVD,C2H2,723.56,312.09,1.71,42.6,90.03,0.559,16.195,459.02,133.67,708100,159.4063,Interconnect,3.76,2.78,26.64,Junction_Breakdown,8,4,4,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1126.5,467.84,0.99,112.89,87.16,0.798,1.845,102.96,139.61,682700,165.6367,EMI_Shielding,44.76,1.51,73.57,Junction_Breakdown,4,6,7,1,CNT_EMI_Composites
Laser Ablation,Ar,1289.88,590.5,1.31,29.62,85.7,0.734,0.784,1553.31,126.54,648800,147.4244,EMI_Shielding,35.89,3.48,51.6,Drift_in_Sensitivity,4,8,3,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1041.63,410.35,2.15,31.72,85.96,0.759,0.747,509.56,79.42,680500,166.4776,Sensor,5.38,34.76,35.19,Junction_Breakdown,4,4,5,0,CNT_EMI_Composites
CVD,CH4,772.92,292.23,0.86,58.28,94.34,0.699,18.459,1178.83,110.87,828100,143.7586,Sensor,17.06,19.67,58.18,Junction_Breakdown,8,5,3,0,CNT_Energy_Electrodes
Arc Discharge,He,3979.79,474.26,2.66,47.09,72.25,0.461,22.607,1940.61,123.08,506000,222.0527,Energy_Electrode,15.22,10.06,286.62,Drift_in_Sensitivity,6,6,2,1,CNT_EMI_Composites
Arc Discharge,Ar,4124.53,223.24,1.54,101.2,75.69,0.441,27.605,878.72,67.7,687800,154.7982,EMI_Shielding,74.3,6.44,51.25,Junction_Breakdown,4,4,2,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1191.12,549.9,1.5,80.08,89.97,0.7,23.407,1330.2,138.88,848000,124.1286,Interconnect,14.22,2.75,32.36,Thermal_Runaway,9,4,5,0,CNT_EMI_Composites
CVD,C2H2,767.62,317.44,1.92,55.89,95.21,0.784,1.184,256.92,46.91,1010000,80.3595,EMI_Shielding,75.42,2.1,52.09,Matrix_Cracking,5,6,3,0,CNT_Interconnects
Laser Ablation,Ar,1163.38,485.38,1.41,81.52,87.24,0.865,1.77,804.07,135.49,759000,135.2718,Interconnect,17.75,7.02,36.39,Thermal_Runaway,9,7,3,1,CNT_Interconnects
Laser Ablation,Ar,1181.05,416.1,2.65,83.1,85.33,0.728,1.983,1827.33,98.44,767200,135.8884,Biomedical,5.44,11.48,63.07,Matrix_Cracking,7,8,7,0,CNT_EMI_Composites
Arc Discharge,Ar,3775.56,261.33,2.39,66.2,87.17,0.371,3.466,337.77,76.41,747000,134.3758,Interconnect,5.27,6.04,26.38,Thermal_Runaway,7,2,4,0,CNT_Interconnects
Laser Ablation,Ar,1091.98,476.43,0.67,67.27,89.26,0.651,26.391,256.05,149.74,656300,124.3994,Sensor,6.97,49.77,10.59,Junction_Breakdown,6,2,2,0,CNT_EMI_Composites
