route_family,variant,substrate,transfer_required,process_temp_c,pressure_torr,h2_flow_sccm,ch4_flow_sccm,anneal_minutes,monolayer_fraction,domain_size_um,layer_count_avg,defect_density_cm2,sheet_res_ohm_sq,batch_energy_kwh,duration_hours,safety_risk_score,scalability_score,estimated_cost_usd,device_grade,quality_band
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,22.7,760,0,0,0,0.946,1.23,1.18,10677433207,324.2,0.58,0.55,0.09,0.2,61.92,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,22.8,760,0,0,0,0.819,0.82,1.05,7149198933,301.9,0.14,1.51,0.26,0.21,110.32,1,High
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,21.8,760,0,0,0,0.651,0.79,1.74,13288865370,560.3,0.38,0.89,0.17,0.3,81.53,1,Medium
CVD,Ni polycrystalline,Ni poly,1,1005.7,1.85,69.8,26.3,12,0.511,11.11,2.02,55318654488,1800.2,12.23,2.4,0.66,0.67,363.33,0,Low
CVD,Ni(111) single crystal,Ni(111),1,967.5,0.99,35.8,30.2,16,0.727,13.56,2.89,53980249138,1366.4,13.58,4.49,0.6,0.53,556.68,0,Low
CVD,Cu foil,Cu poly,1,983.4,1.29,41.3,30.3,8,0.874,15.92,1,31909564646,712.9,9.5,3.84,0.9,0.88,410,1,High
CVD,Fe foil,Fe,1,993.8,1.26,61.6,21.3,21,0.438,5.4,2.64,64165250159,2416.7,20.04,3.3,0.59,0.69,471.62,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,19.3,760,0,0,0,0.364,1.4,3.12,89868932591,3000.1,3.34,8.21,0.69,0.77,410.38,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,29.3,760,0,0,0,0.509,5.08,2.37,77645308862,1851.3,3.75,10.01,0.73,0.75,482.9,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,21.7,760,0,0,0,0.907,1.21,1,12299615589,355.3,0.5,0.7,0.16,0.13,74.96,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,25.9,760,0,0,0,0.813,0.88,1,13374237637,413.3,0.3,1.3,0.18,0.14,96.03,1,High
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,23,760,0,0,0,0.831,0.75,1.2,14801138008,435.8,0.56,1.17,0.21,0.18,97.63,1,High
CVD,Ni polycrystalline,Ni poly,1,1000.6,1.13,58,28,14,0.413,8.87,2.41,56759879486,2349.3,16.21,2.93,0.53,0.66,420.21,0,Low
CVD,Ni(111) single crystal,Ni(111),1,979.5,2.23,38.6,30.2,10,0.563,2,2.32,47939045223,1569.8,11.29,3.48,0.64,0.61,489.18,0,Low
CVD,Cu foil,Cu poly,1,1008.9,0.87,66.5,12.2,14,0.751,25.32,1.26,30609048265,837.8,17.53,2,0.59,0.87,386.11,1,Medium
CVD,Fe foil,Fe,1,1014.4,1.42,68.9,19.5,8,0.572,5.11,3.35,52778484796,1795.8,13.56,3.93,0.47,0.72,407.69,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,25.7,760,0,0,0,0.485,4.84,2.56,78457997581,1991.9,3.25,13.09,0.66,0.81,577,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,29.4,760,0,0,0,0.494,1.79,2.01,70456202501,1751.8,3.91,8.35,0.59,0.66,409.96,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,19.1,760,0,0,0,0.879,1.38,1.02,11038513759,348.2,0.33,1.54,0.08,0.12,92.26,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,21.3,760,0,0,0,0.858,0.87,1.43,14787468446,433,0.63,1.42,0.08,0.23,92.07,1,High
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,25.7,760,0,0,0,0.797,0.85,1.19,8734967296,348.6,0.35,0.94,0.17,0.21,83.02,1,High
CVD,Ni polycrystalline,Ni poly,1,940.5,1.7,61.8,27.4,22,0.356,2,2.66,57428575011,2817.8,16.65,4.85,0.44,0.7,501.58,0,Low
CVD,Ni(111) single crystal,Ni(111),1,967.1,1.01,72.8,25.7,12,0.737,5.81,2.26,59597814756,1331.6,16.5,2.3,0.7,0.66,505.66,0,Low
CVD,Cu foil,Cu poly,1,1010.9,0.75,61.3,12.1,25,0.854,18.09,2.08,37731409301,896.9,19.32,4.95,0.62,0.92,543.52,1,Medium
CVD,Fe foil,Fe,1,960.3,1.15,59.8,26,21,0.352,5.65,2.58,48867544224,2604.2,13.74,2.17,0.61,0.61,347.61,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,28.8,760,0,0,0,0.249,5.7,3.34,69101448524,3928,4.69,11.24,0.69,0.7,533.09,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,25.1,760,0,0,0,0.372,4.02,3.4,60591224899,2476.6,2.81,10.05,0.6,0.86,457.11,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,21.8,760,0,0,0,0.98,1.13,1,14734377865,360.1,0.27,1.35,0.19,0.2,98.57,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,22,760,0,0,0,0.775,0.39,1.61,15765544562,505.3,0.54,1.55,0.13,0.24,100.97,1,Medium
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,22,760,0,0,0,0.832,0.53,1.69,12724021917,426.6,0.1,1.88,0.26,0.23,123.66,1,High
CVD,Ni polycrystalline,Ni poly,1,989.1,2.07,50.1,33.1,14,0.339,7.66,1.65,54148947341,2578.5,12,4.14,0.6,0.82,432.75,0,Low
CVD,Ni(111) single crystal,Ni(111),1,974.2,1.18,62.2,20.4,25,0.515,8.12,2.47,64067498655,2016.7,19.38,3.28,0.65,0.78,577.85,0,Low
CVD,Cu foil,Cu poly,1,960.4,1.1,53.8,24.3,15,0.766,11.92,1.27,29574619283,808.4,14.27,2.76,0.6,0.77,382.98,1,Medium
CVD,Fe foil,Fe,1,963.8,2.23,52.6,40.1,14,0.443,15.02,3.3,49672638435,2241.5,20.62,3.86,0.59,0.74,503.4,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,20.7,760,0,0,0,0.352,4.32,2.21,79405758398,2664.8,2.68,14.39,0.67,0.55,615.63,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,27.2,760,0,0,0,0.45,5.27,3.13,61663854984,2012,3.45,10.32,0.53,0.71,466.29,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,23,760,0,0,0,0.841,0.67,1.04,12414973019,387,0.23,1.6,0.22,0.2,109.45,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,21.9,760,0,0,0,0.8,0.35,1.42,11461159986,408.5,0.43,1.41,0.25,0.2,109.94,1,High
