journal_topic,device_type,material_system,application_area,temperature_K,bias_voltage_V,quantum_well_width_nm,bandgap_eV,effective_mass_me,barrier_height_eV,photon_wavelength_nm,photon_energy_eV,is_infrared,spin_polarization,quantum_efficiency,performance_metric,meets_spec,device_complexity_index
k·p Perturbation Theory,Quantum Well Laser,ZnSe-based,Non-Volatile Memory,324.07,3.79,2.096,2.894,0.338,0.338,408,3.039,0,0.238,0.45,28.94,1,0.656
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaAs/AlGaAs,Non-Volatile Memory,281.88,3.98,2.973,1.534,0.295,0.374,738.4,1.679,1,-0.081,0.637,29.353,1,0.33
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Infrared Sensing,278.66,4.292,1.152,1.371,0.409,0.245,984.5,1.26,1,0.67,0.576,27.754,1,0.488
k·p Perturbation Theory,Quantum Cascade Laser,InGaAs/InP,Non-Volatile Memory,311.49,4.778,2.896,0.812,0.238,0.256,1523.6,0.814,1,-0.156,0.757,36.762,1,0.259
Quantum Cascade Laser,Quantum Cascade Laser,CdSe/CdS QDs,Infrared Sensing,324.71,2.134,4.042,1.765,0.399,0.354,797.7,1.554,1,-0.198,0.316,5.918,0,0.462
Quantum Cascade Laser,2D-TMD FET,GaAs/AlGaAs,Display Technology,301.01,3.014,0.5,1.228,0.354,0.229,1071,1.158,1,-0.229,0.491,9.987,0,0.106
Colloidal Quantum Dots,Quantum Well Laser,WSe2,Display Technology,267.84,3.011,6.115,1.854,0.299,0.222,629,1.971,0,-0.088,0.54,26.074,1,0.492
Single Quantum Well,QD-Based LCD Pixel,ZnSe-based,Non-Volatile Memory,265.99,2.902,2.318,2.889,0.269,0.42,425,2.918,0,0.05,0.395,18.942,0,0.379
Photoelectric Effect,Avalanche Photodiode,WSe2,Optical Communication,264.32,2.351,7.047,1.791,0.543,0.388,698.4,1.776,0,-0.382,0.441,12.155,0,0.788
Colloidal Quantum Dots,Quantum Well Laser,CdSe/CdS QDs,Terahertz Emission,255.81,1.514,3.951,2.084,0.218,0.36,671.3,1.847,0,-0.009,0.276,1.188,0,0.53
Schrodinger Cat Paradox,Spintronic MRAM Cell,InGaAs/InP,Optical Communication,302.74,3.093,1.514,0.807,0.33,0.393,1558.6,0.796,1,0.569,0.56,18.33,0,0.256
Quantum Cascade Laser,2D-TMD FET,GaAs/AlGaAs,Terahertz Emission,328.13,2.232,0.973,1.539,0.225,0.102,814.4,1.523,1,0.224,0.397,3.534,0,0.251
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Optical Communication,299.66,3.086,2.969,1.987,0.479,0.435,614.1,2.019,0,-0.117,0.508,23.558,0,0.332
